id;product_name;countries;ingredients;brands;stores;image_url;
828821000074;"Rayyan natural mineral water";"Qatar";"";"Rayyan";"";"http://static.openfoodfacts.org/images/products/082/882/100/0074/front_en.3.400.jpg";
2034975199993;"Espresso Caffee en grain 1Kg";"France";"";"";"";"http://static.openfoodfacts.org/images/products/203/497/519/9993/front_fr.3.400.jpg";
3560467100042;"Poudre de thé vert Matcha";"France";""the-vert-matcha-issu-de-l-agriculture-biologique/thé vert Matcha issu de l'agriculture biologique",";"";"Grandeur Nature";"http://static.openfoodfacts.org/images/products/356/046/710/0042/front_fr.8.400.jpg";
3560467790496;"Tisane petit déjeuner ";"France";""eglantier/églantier","cynorhodon/cynorhodon","bio/bio","morceaux-de-pommes-bio/morceaux de pommes bio","citronnelle-bio/citronnelle bio","menthe-verte-bio/menthe verte bio","hibiscus-bio/hibiscus bio","fraise-bio/fraise bio","paquerette-bio/pâquerette bio","bleuet-bio/bleuet bio","calendula-bio/calendula bio",";"Hildegarde de Bingen";"BioCoop";"http://static.openfoodfacts.org/images/products/356/046/779/0496/front_en.4.400.jpg";
3560070820511;"100 % Pur fruit pressé, Jus de tomate bio salé à 3 g/l";"France";""jus-de-tomate/Jus de tomate*","sel/sel","3-g-l/3 g/l","acidifiant/acidifiant","jus-de-citron-

-biologique/jus de citron*.

*biologique.",";"Carrefour";"Carrefour market";"http://static.openfoodfacts.org/images/products/356/007/082/0511/front_fr.12.400.jpg";
3560070820627;"Jus de carotte bio";"France";""jus-de-carotte/Jus de carotte*","acidifiant/acidifiant","jus-de-citron-

-biologique/jus de citron*.

*biologique.",";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/082/0627/front_fr.9.400.jpg";
3560070712786;"Café moulu équilibré";"France";""cafe/café",";"Carrefour BIO";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/2786/front_fr.7.400.jpg";
3560070714087;"Moka Premium";"France";""cafe-moulu-pur-arabica/Café moulu pur Arabica",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/4087/front_fr.7.400.jpg";
3560070712571;"36 Dosettes décaféinées";"France";""cafe-decafeine-moulu/café décaféiné moulu.",";"Carrefour Discount";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/071/2571/front_fr.6.400.jpg";
3560070712878;"Dosettes café Corsé Bio";"France";""cafe/café","du-poids-total/du poids total","/.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/2878/front_fr.18.400.jpg";
3560070712847;"Dosettes café équilibré Bio Carrefour";"France";""cafe/café","du-poids-total/du poids total","/.",";"carrefour bio";"carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/2847/front_fr.21.400.jpg";
3560070277315;"Décaféiné Intense";"France";""cafe/café.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/7315/front_fr.5.400.jpg";
3560070938254;"Citronnade";"France";""eau/Eau","jus-de-citron/jus de citron","sucre/sucre","pulpe-de-citron/pulpe de citron","/.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/093/8254/front_fr.7.400.jpg";
3560070135127;"café soluble";"France";"";"carrefour,Carrefour BIO";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/013/5127/front_fr.6.400.jpg";
3560070659579;"Infusions 100% plaisir Cranberry - Framboise";"France";""hibiscus/Hibiscus","pomme/pomme","cynorrhodon/cynorrhodon","aromes/arômes","cranberry-0/cranberry 0‚","framboise-0/framboise 0‚",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/065/9579/front_fr.6.400.jpg";
3560070592975;"Saveur Cassis";"France";""eau-minerale-naturelle-source-adeline/eau minérale naturelle source Adeline","acidifiant/acidifiant","acide-citrique/acide citrique","arome-naturel-de-cassis/arôme naturel de cassis","edulcorants/édulcorants","sucralose/sucralose","acesulfame-k/acésulfame-K",";"Carrefour";"Dia,Carrefour";"http://static.openfoodfacts.org/images/products/356/007/059/2975/front_fr.5.400.jpg";
3560071000097;"Iced Tea saveur menthe";"France";""eau/Eau","sucre/sucre","extraits-de-the-1-1-g-l/extraits de thé 1‚1 g/L","dont-extrait-de-the-vert-0-8-g-l/dont extrait de thé vert 0‚8 g/L","acidifiant/acidifiant","acide-citrique/acide citrique","correcteur-d-acidite/correcteur d'acidité","citrates-de-sodium/citrates de sodium","arome-naturel-de-menthe/arôme naturel de menthe","extrait-de-menthe-du-maroc/extrait de menthe du Maroc","0/0‚","antioxydant/antioxydant","acide-ascorbique/acide ascorbique.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/100/0097/front_fr.6.400.jpg";
3560070429899;"Eau minérale naturelle naturellement gazeuse";"France";""eau-minerale-naturelle-naturellement-gazeuse/Eau minérale naturelle naturellement gazeuse",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/042/9899/front_fr.9.400.jpg";
