"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
;"Bière brut";"[""Belgique""]";"{""malt-d-orge"":""Malt d'orge""}";"[""Malheur""]";"null";""
"5410263015669";"blonde";"[""belgium""]";"null";"[""grimbergen""]";"null";""
"5410263010664";"Cerveza &quot;Grimbergen&quot; Dubbel";"[""España""]";"{""contiene-cebada-y-trigo"":""Contiene cebada y trigo.""}";"[""Grimbergen"",""//Propiedad de://"",""Carlsberg Breweries A/S"",""//Perteneciente a://"",""Carlsberg A/S""]";"[""Carrefour""]";""
"5410263013665";"Cerveza &quot;Grimbergen&quot; Optimo Bruno";"[""España""]";"{""contiene-cebada-y-trigo"":""Contiene cebada y trigo.""}";"[""Grimbergen"",""//Propiedad de://"",""Carlsberg Breweries A/S"",""//Perteneciente a://"",""Carlsberg A/S""]";"[""Carrefour""]";""
"5410263915785";"Maes Pils";"[""France""]";"{""houblon"":""houblon."",""eau"":""Eau"",""malt-d-orge"":""malt d'_orge_"",""sucre"":""sucre""}";"[""Maes""]";"null";""
"5410263912432";"Foster's";"[""France""]";"{""sirop-de-glucose"":""sirop de glucose"",""houblon"":""houblon."",""eau"":""Eau"",""malt-d-orge"":""malt d'orge""}";"[""Foster's""]";"[""Leclerc""]";""
"5410263915396";"Maes";"[""Belgique""]";"{""jus-de"":""jus de"",""concentre-de-citron"":""concentré de citron"",""2"":""2‚"",""eau-biere"":""eau biere"",""et-d-acerola-contient-du-malt-et-du-houblon"":""et d'acerola. contient du malt et du houblon."",""d-orange"":""d'Orange"",""de-citron-vert"":""de citron vert"",""sucre"":""sucre""}";"[""Maes""]";"[""carrefour""]";""
"5411656001313";"Cerveza &quot;Mort Subite&quot; Xtreme Framboise";"[""España""]";"{""malta-de-cebada"":""malta de cebada"",""azucar-y-dulcificante"":""azúcar y dulcificante."",""frambuesa-y-bayas-del-sauco"":""frambuesa y bayas del saúco"",""trigo"":""trigo"",""agua"":""Agua""}";"[""Mort Subite"",""//Propiedad de://"",""N.V. Brouwerijen Alken-Maes Brasseries S.A."",""//Perteneciente a://"",""Heineken N.V."",""y"",""Carlsberg A/S""]";"[""Carrefour""]";""
"5411656010117";"Mort Subite Original Gueuze";"[""France""]";"{""lambic-de-fermentation-spontanee"":""Lambic de fermentation spontanée""}";"[""Mort Subite""]";"null";""
"5411656010711";"Kriek Original";"[""Belgium"",""France"",""Germany"",""Netherlands"",""Spain"",""Switzerland"",""United Kingdom""]";"{""cerises"":""Cérises"",""orge"":""Orge"",""sureaux"":""Sureaux"",""ble"":""Blé""}";"[""Mort Subite""]";"null";""
"5411656051486";"Mort subite Witte lambic";"[""France""]";"{""houblon"":""houblon"",""eau"":""eau"",""extraits-de-houblon"":""extraits de houblon."",""ble"":""_blé_"",""malt-d-orge"":""malt d'_orge_"",""arome-de-fruit"":""arôme de fruit"",""sucre"":""sucre""}";"null";"[""Simply market""]";""
"5411656050977";"Kriek Lambic";"[""France""]";"{""jus-de-cerise-a-base-de-concentre"":""jus de cerise à base de concentré"",""cerises"":""cerises"",""houblon"":""houblon"",""eau"":""Eau"",""extraits-de-houblon"":""extraits de houblon."",""ble"":""_blé_"",""malt-d-orge"":""malt d'_orge_"",""aromes"":""arômes"",""dont-cerise"":""dont cerise"",""sucre"":""sucre""}";"[""Mort Subite""]";"[""Monoprix""]";""
"5411656051134";"Gueuze Lambic";"[""France""]";"{""houblon"":""houblon"",""eau"":""eau"",""ble"":""_blé_"",""malt-d-orge"":""malt d'_orge_"",""sucre"":""sucre""}";"[""Mort Subite""]";"[""Leclerc""]";""
"5410702000805";"Saison";"[""Belgium"",""France"",""Germany"",""Italy"",""Spain""]";"{""malt-d-orge-bio"":""malt d'orge bio"",""sirop-de-ble-bio"":""sirop de blé bio"",""eau"":""eau"",""levure"":""levure"",""houblon-bio"":""houblon bio""}";"[""Dupont""]";"null";""
"5410702000508";"Bière non filtrée";"[""France""]";"{""malt-d-orge-bio"":""malt d'orge bio"",""sirop-de-ble-bio"":""sirop de blé bio"",""eau"":""Eau"",""levure"":""levure"",""houblon-bio"":""houblon bio""}";"[""Moinette""]";"null";""
"5410218002218";"Gordon Finest Titanium";"[""France""]";"{""eau"":""eau"",""d-orge"":""d'_orge_"",""houblon-contient-sulfites"":""houblon. Contient _sulfites_."",""malt"":""malt"",""sucre"":""sucre""}";"[""Gordon""]";"[""Carrefour""]";""
"5411911001782";"Extra 4";"[""France""]";"{""houblon"":""houblon"",""eau"":""eau"",""levure"":""levure"",""malt-d-orge"":""malt d'orge""}";"[""St. Bernardus""]";"null";""
"5413023000158";"Blanche";"[""France"",""Italie""]";"{""coriandre"":""coriandre"",""contient-malt-d-orge-et-froment"":""contient malt d'orge et froment"",""houblon"":""houblon"",""eau"":""eau"",""levure"":""levure"",""ecorce-d-orange"":""écorce d'orange""}";"[""Silly""]";"null";""
"5413023001001";"Bière belge artisanale";"[""Belgium"",""Canada"",""France""]";"{""houblon"":""houblon"",""eau"":""eau"",""levure"":""levure"",""malt-d-orge"":""malt d'orge"",""sucre"":""sucre""}";"[""La Divine""]";"null";""
"5411633330917";"Blonde";"[""France""]";"{""contient-du-malt-d-orge"":""Contient du malt d'_orge_.""}";"[""Queue de Charrue""]";"null";""
"5411633330054";"Blanche de Namur";"[""Belgium"",""Denmark"",""Finland"",""France"",""Germany"",""Hungary"",""Italy"",""Netherlands"",""Norway"",""Spain"",""Sweden"",""United Kingdom""]";"{""contient-du-froment-et-du-malt-d-orge"":""Contient du _froment_ et du malt d'_orge_.""}";"[""Blanche de Namur""]";"[""Casino""]";""
"5411633330085";"St Benoit Blonde";"[""France"",""Belgique""]";"{""biere-fermentee"":""Bière fermentée""}";"[""Saint-Benoît""]";"null";""
"5411633332010";"Gauloise ambrée";"[""Belgium"",""France"",""Netherlands"",""Spain"",""United Kingdom""]";"{""malt-d-orge"":""malt d'orge""}";"[""Bocq""]";"null";""
"5411633330030";"Saison 1858";"[""France""]";"{"""":""."",""froment"":""_froment_"",""biere"":""Bière"",""malt-d-orge"":""malt d'_orge_""}";"[""Brasserie du Bocq""]";"[""Auchan""]";""
"5411633043312";"7 triple blond";"[""France"",""Italie"",""Luxembourg"",""Pays-Bas"",""Espagne""]";"{""malt-d-orge"":""malt d'orge""}";"[""Waterloo""]";"null";""
"5412186000159";"Blanche des Neiges ";"[""France""]";"{""froment"":""_froment_"",""houblon"":""houblon"",""eau"":""eau"",""levure"":""levure"",""malt-d-orge"":""_malt d'orge_""}";"[""Sans marque""]";"null";""
"5412186003013";"Averbode";"[""France""]";"null";"[""Abdij Abbaye""]";"null";""
"5412186000098";"Bière belge";"[""Belgium"",""France""]";"{""barley-malt"":""_barley_ malt"",""hops"":""hops"",""water"":""water"",""yeast"":""yeast""}";"[""Delirium tremens""]";"null";""
"5410583801546";"Rosso";"[""France""]";"{"""":""."",""framboises"":""framboises"",""jus-de-cerises"":""jus de cerises"",""canneberges-et-cerises"":""canneberges et cerises"",""contient-du-malt-d-orge-et-20-fruits-rouges"":""Contient du _malt d'orge_ et 20 % fruits rouges""}";"[""Rodenbach""]";"[""Noz""]";""
"5413963100017";"Guldenberg";"[""belgium""]";"{""barley-malt"":""barley malt"",""hops"":""hops"",""water"":""water"",""sugar"":""sugar"",""yeast"":""yeast""}";"[""Br. De Ranke""]";"null";""
"5411681400310";"Extra white";"[""France""]";"{""malt-d-orge-et-de-ble"":""malt d'orge et de _blé_""}";"[""Vedett""]";"[""Comme au Bistro""]";""
"5411681401775";"Bière ";"[""France""]";"null";"[""Vedett""]";"null";""
"5411681401164";"Duvel Tripel Hop 2015";"[""France""]";"{""contient-du-malt-d-orge"":""Contient du malt d'_orge_.""}";"[""Duvel""]";"null";""
