id;product_name;countries;ingredients;brands;stores;image_url;
827924004057;"Vin de Glace";"Canada";""raisins/Raisins",";"Vignoble de l'Orpailleur";"";"http://static.openfoodfacts.org/images/products/082/792/400/4057/front_fr.4.400.jpg";
3560070715275;"Champagne demi-sec Bio Fleury";"France";""champagne-bio/Champagne Bio",";"Fleury";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/5275/front_fr.12.400.jpg";
3560070719570;"L'Abbaye velours";"France";""eau/Eau","malt-d-orge/malt d'_orge_","fructose/fructose","ble/_blé_","dextrose/dextrose","arome/arôme","arome-naturel-de-sureau/arôme naturel de sureau","acidifiant/acidifiant","acide-citrique/acide citrique","houblon/houblon","antioxydant/antioxydant","acide-ascorbique/acide ascorbique.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/9570/front_fr.6.400.jpg";
3560070719648;"La Charnue Blonde";"France";""eau/Eau","malts-d-orge/malts d'_orge_","sucre/sucre","houblons/houblons.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/071/9648/front_fr.7.400.jpg";
3560070532872;"La Francette sauvignon";"France";""sulfites/sulfites",";"";"carrefour";"http://static.openfoodfacts.org/images/products/356/007/053/2872/front_fr.6.400.jpg";
3560070597741;"Cidre bouché de Bretagne IGP Brut ";"France";""jus-de-pomme-a-cidre-de-bretagne-partiellement-a-base-de-concentre-fermente/Jus de pomme à cidre de Bretagne partiellement à base de concentré fermenté","gaz-carbonique/gaz carbonique.",";"Carrefour";"Carrefour market";"http://static.openfoodfacts.org/images/products/356/007/059/7741/front_fr.10.400.jpg";
3560070513727;"Cidre Bouché Artisanal, Doux (2 % vol.)";"France";""cidre-bouche-artisanal-doux-
ce-produit-contient-des-sulfites/Cidre bouché artisanal doux.
Ce produit contient des _sulfites_.",";"Reflets de France";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/051/3727/front_fr.5.400.jpg";
3560070269297;"Panaché";"France";""limonade/Limonade","biere/bière","/.","eau-gazeifiee/eau gazéifiée","sucre/sucre","arome-naturel/arôme naturel","colorant/colorant","caramel-ammoniacal/caramel ammoniacal","acidifiant/acidifiant","acide-citrique/acide citrique","antioxydant/antioxydant","acide-ascorbique/acide ascorbique","edulcorant/édulcorant","sucralose/sucralose","eau/eau","malt-d-orge/malt d'_orge_","maltose/maltose","extrait-de-houblon/extrait de houblon",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/026/9297/front_fr.12.400.jpg";
3560070571635;"Bourgogne Grand Ordinaire";"France";""raisins-rouges-de-cepages-differents/Raisins rouges de cépages différents",";"La Croix Carillan,Celliers des terres de France";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/057/1635/front_fr.7.400.jpg";
3560070793921;"Fine crème de cassis";"France";""sirop-de-glucose-fructose/Sirop de glucose-fructose","cassis-noir-de-bourgogne/cassis noir de Bourgogne","eau/eau","sucre/sucre","alcool/alcool","bourgeons-de-cassis/bourgeons de cassis.",";"Noir de Bourgogne";"";"http://static.openfoodfacts.org/images/products/356/007/079/3921/front_fr.7.400.jpg";
3560070604463;"Bière Kœnigsbier blonde 4,2% 50 cl";"France";""eau/eau","malt-d-orge/malt d'orge","extrait-de-houblon/extrait de houblon",";"Kœnigsbier";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/060/4463/front_fr.10.400.jpg";
3560070118373;"Vodka 70 cl Carrefour";"France";"";"Carrefour";"Carrefour";"null";
3560070257683;"L'Iceweiss";"France";""eau/Eau","malt-de-ble/malt de _blé_","malt-d-orge/malt d'_orge_","mais/maïs","aromes/arômes","houblon/houblon","antioxydant/antioxydant","acide-ascorbique/acide ascorbique.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/025/7683/front_fr.5.400.jpg";
