"id";"product_name";"countries";"ingredients";"brands";"stores";"energy_100g (kcal)";"sugars (g)";"fat (g)";"nutriments";"image_url"
"26038728";"Remix gélifiés";"France";"Sirop de glucose, sirop de sucre mélassé, contient des _sulfites_, sucre, farine de _blé_, gélatine, matière grasse végétale, palme, acidifiant, acide citrique, sel, poudre de _lait_ entier, arômes, suc de réglisse, huile végétale, coprah, agent d'enrobage, cire de carnauba, colorants, E100, E120, E131, E160c, amidon de _blé_.";"Petit Furet";"Harnes";"345.9111";"52";"1.1";"saturated-fat_value 0.61, proteins_value 4, fat_value 1.1, sodium_value 0.21220472440944882, energy_100g 1448, salt_value 0.539, carbohydrates_value 79, sugars_value 52, energy_value 1448, fiber_value 0";""
"3560070821839";"Paris'Gom";"France";"Sucre, sirop de glucose, eau, gélatine de porc, acidifiant, acide citrique, maltodextrine, arômes, colorants, curcumine, carmins, complexes cuivre-chlorophylles et cuivre-chlorophyllines.";"Carrefour";"Carrefour City";"338.50555";"60";"0.5";"energy_100g 1417, salt_value 0.03, carbohydrates_value 78, energy_value 1417, sugars_value 60, saturated-fat_value 0.1, proteins_value 4.6, polyols_value 0.5, fat_value 0.5, sodium_value 0.011811023622047244";""
"3560070821082";"Pêch'Acid";"France";"sucre, sirop de glucose, eau, gélatine de porc, acidifiants, acide malique et acide tartrique, arôme naturel, colorants, curcumine et carmins";"Carrefour";"Carrefour";"341.85";"64";"0.5";"fat_value 0.5, proteins_value 5.4, saturated-fat_value 0.1, carbohydrates_value 77, sugars_value 64, energy_value 1431, energy_100g 1431";""
"3560070821808";"Cola Acid";"France";"Sucre, sirop de glucose, eau, gélatine de porc, acidifiants, acide malique et acide tartrique, arôme, colorant, caramel au sulfite d'ammonium.";"Carrefour";"";"338.26666";"63";"0.5";"energy_100g 1416, energy_value 1416, sugars_value 63, carbohydrates_value 76, salt_value 0.03, proteins_value 5.4, saturated-fat_value 0.2, sodium_value 0.011811023622047242, fat_value 0.5";""
"3560070821822";"Grizzly";"France";"Sirop de glucose, sucre, eau, gélatine de porc, acidifiant, acide citrique, maltodextrine, arômes, colorants, curcumine, carmins, complexes cuivre-chlorophylles et cuivre-chlorophyllines, E160e, huile de palme, huile de palmiste, huile de coco, agents d'enrobage, cire d'abeille blanche et jaune, cire de carnauba";"Carrefour";"Carrefour Market";"328.47223";"52";"0.5";"saturated-fat_value 0.2, proteins_value 5.8, sodium_value 0.01968503937007874, fat_value 0.5, energy_100g 1375, energy_value 1375, sugars_value 52, salt_value 0.05, carbohydrates_value 73";""
"3560071005771";"Moustach'Acid";"France";"Sirop de glucose, sucre, eau, gélatine de porc, acidifiants, acide lactique et acide citrique, arômes, colorant, curcumine, extrait de paprika, bleu patenté V, carmins. Contient, amidon de _blé_.";"Carrefour";"Carrefour Market";"338.50555";"67";"0";"energy_100g 1417, energy_value 1417, sugars_value 67, salt_value 0.02, carbohydrates_value 78, saturated-fat_value 0, proteins_value 5.1, sodium_value 0.007874015748031496, fat_value 0";""
"3560071005764";"Boul' Acid";"France";"Sucre, sirop de glucose, eau, amidon de maïs, gélatine de porc, acidifiants, acide citrique et acide malique, correcteur d'acidité, malates de sodium, arômes, fécule de pomme de terre, colorant, curcumine, carmins, bleu patenté V. Contient, amidon de _blé_.";"Carrefour";"Carrefour Market";"347.82224";"76";"0";"fat_value 0, sodium_value 0.11811023622047243, saturated-fat_value 0, proteins_value 1.9, salt_value 0.3, carbohydrates_value 84, sugars_value 76, energy_value 1456, energy_100g 1456";""
"3560070578047";"Jelly bean";"France";"sucre, sirop de glucose de blé et ou de maïs, eau, amidon modifié de maïs, acidifiants, acide fumarique), arômes, agents d'enrobage, shellac, cire de carnauba, cire d'abeille, colorants, curcumine, carmins, bleu brillant FCF, caramel de sulfite d'ammonium, dioxyde de titane., acide citrique";"Carrefour";"Carrefour Market";"381.0";"76";"0";"proteins_value 0, saturated-fat_value 0, fat_value 0, sodium_value 0.03, energy_100g 1598, carbohydrates_value 94, fiber_value 0, sugars_value 76, energy_value 1598";""
"3560070920235";"Chocolats Belges";"France";"Sucre, pâte de cacao, beurre de cacao, _noisettes_, poudre de _lait_ entier, graisses et huiles végétales, sirop de glucose, _amandes_, eau, poudre de _lait_ écrémé, stabilisant, glycérol, émulsifiants, lécithine de tournesol, mono- et diglycérides d'acides gras et lécithine de _soja_, _lait_ concentré sucré, matière grasse de _lait_ anhydre, sirop de sucre inverti, arômes, café moulu, humectant, sorbitols, sel, poudre de cacao, acidifiant, acide citrique, colorant, caroténoïdes., palme, palmiste, coco";"Esprit de Fête";"Carrefour market";"542.2778";"51";"34";"energy_100g 2270, fiber_value 3.1, energy_value 2270, sugars_value 51, carbohydrates_value 53, salt_value 0.08, proteins_value 5.5, saturated-fat_value 17, sodium_value 0.031496062992125984, fat_value 34";""
"15600703";"Bonbons goût fruit";"France";"édulcorants, sirop de maltilol de blé et/ou maïs, sucralose, acidifiants, acide citrique, arômes naturels, arômes naturels d'agrumes, colorant, curcumine, carmins, extrait de paprika, anthocyanes, citron, orange";"Carrefour";"Carrefour Market";"228.37778";"0.2";"0";"sodium_value 0, fat_value 0, polyols_value 95.3, proteins_value 0, saturated-fat_value 0, fiber_value 0, energy_value 956, sugars_value 0.2, carbohydrates_value 95.5, salt_value 0, energy_100g 956";""
"3560070833252";"Rochers Noirs avec éclats de noisettes";"France";"Sucre, praliné, pâte de cacao, beurre de cacao, éclats de _noisettes_, graisses végétales, poudre de _lait_ écrémé, matière grasse de _lait_ anhydre, cacao maigre en poudre, poudre de _lait_ entier, émulsifiant, lécithine de tournesol, _lactose_, _lactosérum_ en poudre, arôme naturel de vanille, arôme naturel., sucre, pâte de _noisettes_, pâte d'_amandes_, palmiste, palme";"Esprit de Fête";"Carrefour City";"549.20557";"47";"36";"carbohydrates_value 48, salt_value 0.02, fiber_value 5.5, energy_value 2299, sugars_value 47, energy_100g 2299, fat_value 36, sodium_value 0.007874015748031496, proteins_value 6.3, saturated-fat_value 16";""
"3560070835898";"Escargots blancs fourrage au praliné";"France";"Praliné, sucre, beurre de cacao, poudre de _lait_ entier, graisses végétales, _lactose_, éclats de _noisettes_, poudre de _lait_ écrémé, cacao maigre en poudre, émulsifiant, lécithine de tournesol, pâte de cacao, matière grasse de _lait_ anhydre, arôme naturel, arôme naturel de vanille, _lactosérum_ en poudre., sucre, pâte de _noisettes_, pâte d'_amandes_, palmiste, palme";"Esprit de Fête";"Carrefour";"543.23334";"54";"33";"fat_value 33, sodium_value 0.03543307086614173, proteins_value 6.7, saturated-fat_value 15, carbohydrates_value 54, salt_value 0.09, fiber_value 2.6, energy_value 2274, sugars_value 54, energy_100g 2274";""
"3560070880812";"Lucioles Acid";"France";"Sucre, sirop de glucose, eau, gélatine de porc, acidifiants, acide malique et acide tartrique, arômes, colorants, bleu brillant FCF, cochenille, curcumine, complexes cuivre-chlorophylles et cuivre-chlorophyllines, dioxyde de titane.";"Carrefour";"Carrefour City";"333.4889";"63";"0.5";"sodium_value 0.0157, fat_value 0.5, saturated-fat_value 0.2, proteins_value 5.4, sugars_value 63, energy_value 1396, salt_value 0.039878, carbohydrates_value 76, energy_100g 1396";""
"3560070981489";"Assortiment de chocolats au lait";"France";"Sucre, praliné noisette, beurre de cacao, poudre de _lait_ entier, praliné amande 5‚, pâte de cacao, pâte de _noisette_ 3‚, noisettes caramélisées 1‚, brisures de bretzel 1‚, brisures de crêpe dentelle 0‚, émulsifiant, lécithines de _soja_, arômes naturels de vanille, fleur de sel 0‚, arôme speculos, colorant de décor, oxyde et hydroxyde de fer., sucre, _noisettes_, huile de _noisettes_, sucre, _amandes_, huile d'_amandes_, _noisettes_, sucre, sirop de glucose, miel, farine de _blé_, sel, huile de tournesol, farine de malt de _blé_, levure, correcteur d'acidité, hydroxyde de sodium, farine de _blé_, sucre, matière grasse de _lait_ anhydre, _lactose_, protéines de _lait_, sel, farine de malt d'_orge_, poudre à lever, carbonates de sodium";"Carrefour Sélection, Carrefour";"Carrefour";"567.6";"48";"37";"energy_100g 2376, fiber_value 3.4, sugars_value 48, energy_value 2376, carbohydrates_value 50, salt_value 0.21, proteins_value 7.2, saturated-fat_value 15, sodium_value 0.0826771653543307, cocoa_value 32, fat_value 37";""
"3560070981458";"Assortiment de chocolats lait, noir, blanc";"France";"Sucre, praliné amande, pâte de cacao, beurre de cacao, poudre de _lait_ entier, praliné noisette 9‚, caramel, amandes caramélisées 2‚, eau, brisures de bretzel 1‚, stabilisants, glycérol et sorbitols, _beurre_ concentré, dextrose, poudre de _lait_ écrémé, brisures de crêpe dentelle 0‚, émulsifiant, lécithines de _soja_, caramel en poudre 0‚, café 0‚, arôme naturel de café, arôme naturel, _lactosérum_ en poudre, _lactose_, arômes naturels de vanille, fleur de sel 0‚, arôme, paprika., sucre, _amandes_, huile d'_amandes_, sucre, _noisettes_, huile de _noisettes_, sirop de glucose-fructose, sucre, _lait_ concentré sucré, _crème_, _beurre_, _beurre_ salé, sel, eau, stabilisant, pectines, _amandes_, sucre, sirop de glucose, miel, farine de _blé_, sel, huile de tournesol, farine de _blé_ malté, levure, correcteur d'acidité, hydroxyde de sodium, farine de _blé_, sucre, matière grasse de _lait_ anhydre, _lactose_, protéines de _lait_, sel, farine de malt d'_orge_, poudre à lever, carbonates de sodium, _lait_ écrémé en poudre, protéines de _lait_, sucre, _beurre_";"Carrefour Sélection, Carrefour";"Carrefour";"545.1445";"46";"35";"fiber_value 4.7, sugars_value 46, energy_value 2282, carbohydrates_value 49, salt_value 0.24, energy_100g 2282, sodium_value 0.09448818897637795, cocoa_value 32, fat_value 35, proteins_value 6.9, saturated-fat_value 17";""
"451";"Pop n' Croc";"France";"Sucre, céréales maltées croustillantes, poudre de lait entier, beurre de cacao, pâte de cacao, lactosérum en poudre, extrait de malt d'orge, EMULSIFIANT, Lécithine de soja, sirop de glucose, AGENT D'ENROBAGE, Gomme arabique, arôme, amidon modifié de pomme de terre, Farine de blé, sucre, farine de blé malté, amidon de blé, extrait de malt d'orge, lait écrémé en poudre, sel";"Carrefour";"Carrefour";"488.0";"51";"23";"energy_100g 2043, carbohydrates_value 62, energy_value 2043, sugars_value 51, fiber_value 2.3, saturated-fat_value 14, proteins_value 7.3, fat_value 23, sodium_value 0.16535";""
"3560070521715";"Oursons";"France";"guimauve fantaisie enrobé 30% de chocolat au lait
sirop de glucose-fructose, sucre, eau, beurre de cacao, pâte de cacao, poudre de _lait_ écrémé, gélatine de _porc_, matière grasse de lait anhydre, lactosérum en poudre, émulsifiant, lécithine de tournesol, arômes";"Carrefour";"";"363.1111";"52";"9.7";"sodium_value 0.031496062992125984, fat_value 9.7, saturated-fat_value 5.3, proteins_value 4, energy_value 1520, sugars_value 52, fiber_value 0.6, salt_value 0.08, carbohydrates_value 64, energy_100g 1520";""
"3560070940554";"Assortiment de sucettes goûs fruits & cola";"France";"Sirop de glucose, sucre, acidifiant, acide citrique, arômes, concentré de sureau, colorants, curcumine, caramel ammoniacal, extrait de paprika, anthocyanes.";"Carrefour";"Carrefour";"393.92776";"62";"0";"energy_100g 1649, salt_value 0, carbohydrates_value 97, sugars_value 62, energy_value 1649, saturated-fat_value 0, proteins_value 0, fat_value 0";""
