"id";"product_name";"countries";"ingredients";"brands";"stores";"energy_100g (kcal)";"sugars (g)";"fat (g)";"nutriments";"image_url"
"3560070368341";"Assortiment de chocolats mixtes";"France";"Sucre, pâte de cacao, beurre de cacao, poudre de _lait_ entier, pâte de _noisettes_, graisses végétales, pâte d'_amandes_, matière grasse de _lait_ anhydre, caramel, _lactose_, pâte de nougat à la noix de pécan, cacao maigre en poudre, eaux de vie, framboise et poire Williams, poudre de _lait_ écrémé, cacao en poudre, griottes à l'alcool, éclats de fèves de cacao caramélisés, brisure de crêpe dentelle, émulsifiant, lécithine de tournesol, brisures de nougat noir, arôme naturel de vanille, colorant, caramel de sulfite caustique), _lactosérum_ en poudre, noix de coco râpée caramélisée, éclats de noix de pécan caramélisées, _noix de macadamia_ caramélisée, éclats d'_amandes_, alcool, sirop de glucose, pâte au café, arômes, alcoolat de cerise, stabilisant, gomme arabique, huile de tournesol, enzyme, inertase, acidifiant, acide citrique, agent d'enrobage, shellac., palmiste, palme, sirop de glucose, graisse végétale de palme, _lait_ concentré sucré, sucre, dextrose, _beurre_, émulsifiants, lécithine de tournesol et mono, et diglycérides d'acides gras, sel, arôme, _noix de pécan_, sirop de glucose, miel, sucre, arôme naturel de vanille, albumine d'_oeuf_, griottes, eau, alcool, éclats de fèves de cacao torréfiés, sucre, farine de _blé_, sucre, huile de tournesol, poudre de _lait_ écrémé, malt d'_orge_, sel, _amandes_, sirop de glucose, sucre, miel, beurre de cacao, pain azyme, fécule de pomme de terre, eau, huile de tournesol, noix de coco râpée, sucre, sel, _noix de pécan_, sucre, noix de macadamia, sucre, café, beurre de cacao, émulsifiant, lécithine de tournesol, alcool, Kirsch, arôme";"Esprit de Fête";"Carrefour";"533.4389";"51";"32";"energy_100g 2233, carbohydrates_value 53, salt_value 0.08, fiber_value 3.8, sugars_value 51, energy_value 2233, proteins_value 5.7, saturated-fat_value 18, fat_value 32, sodium_value 0.031496062992125984";""
"3560070368402";"Assortiment de chocolats noirs";"France";"Sucre, pâte de cacao, graisses végétales, beurre de cacao, matière grasse de _lait_ anhydre, cacao maigre en poudre, cacao en poudre, pâte de _noisettes_, poudre de _lait_ entier, eaux de vie, poire Williams et framboise, pâte d'_amandes_, griottes à l'alcool, huile végétale de tournesol, pâte de café, poudre de _lait_ écrémé, éclats de noisettes caramélisés, éclats de fèves de cacao, _lactosérum_ en poudre, éclats de cappuccino, Kirsch, arôme), arômes, _lactose_, stabilisant, gomme arabique, enzyme, invertase, acidifiant, acide citrique., palme, palmiste, griottes, eau, alcool, café, beurre de cacao, émulsifiant, lécithine de tournesol, _noisettes_, sucre, éclats de fèves de cacao torréfiés, sucre, maltodextrine, sucre, poudre de _lait_ écrémé, café, amidon";"Esprit de Fête";"Carrefour";"536.7833";"48";"34";"fat_value 34, sodium_value 0.011811023622047244, saturated-fat_value 21, proteins_value 5.1, salt_value 0.03, carbohydrates_value 50, sugars_value 48, energy_value 2247, fiber_value 5.9, energy_100g 2247";""
"3560070184200";"Bonbons goût caramel";"France";"Edulcorants, sirop de maltitol, isomalt, acésuldame K, _crème_ fraîche, sel, arômes, poudre de _lait_ écrémé, colorant, caramel amoniacal, émulsifiant, lécithine de tournesol.";"Carrefour";"";"268.03333";"0";"6";"energy_100g 1122, sugars_value 0, energy_value 1122, salt_value 0.75, carbohydrates_value 89, polyols_value 89, saturated-fat_value 5, proteins_value 0, sodium_value 0.2952755905511811, fat_value 6";""
"3560070721429";"Barres caramel";"France";"";"Carrefour";"";;;;"";""
"3560070339495";"Ours Guimauve Chocolat au Lait";"France";"";"Carrefour";"";"400.61667";"58";"9.4";"proteins_value 4.8, saturated-fat_value 6.3, fat_value 9.4, sodium_value 0.027559055118110236, energy_100g 1677, carbohydrates_value 73, salt_value 0.07, fiber_value 0.8, energy_value 1677, sugars_value 58";""
"3560070339433";"Bonbons tendres";"France";"";"Carrefour";"";;;;"";""
"3564700015131";"Oeufs sur le plat";"France";"Sirop de glucose-fructose, sucre, eau, gélatine de porc, acidifiant, acide citrique, huile de coco, arômes, agent d'enrobage, cire d'abeille, colorants, caroténoïdes, cochenille.";"Copains Copines, Marque repère";"";"322.5";"63";"0";"salt_value 0.10160000000000001, carbohydrates_value 74, energy_value 1350, sugars_value 63, fiber_value 0, energy_100g 1350, fat_value 0, sodium_value 0.04, saturated-fat_value 0, proteins_value 5.5";""
"3564700260852";"Crocodil'";"France";"Sirop de glucose-fructose, sucre, eau, gélatine de porc, acidifiant, d'épinard et de curcuma, colorants, caroténoïdes, E120, agent d'enrobage, cire d'abeille., acide citrique, arômes, huile de coco, denrées alimentaires à effet colorant, extraits d'ortie";"Copains Copines";"Leclerc";"322.7389";"60";"0.3";"energy_100g 1351, fiber_value 0, energy_value 1351, sugars_value 60, carbohydrates_value 73.7, salt_value 0.025, proteins_value 5.1, saturated-fat_value 0.2, sodium_value 0.00984251968503937, fat_value 0.3";""
"3564700578650";"Bonbons durs café sans sucres";"France";"Édulcorants, _crème_ fraîche 9‚, café soluble, sel, extrait de café 0‚, arôme, colorants, caramel E150c, _lait_ en poudre écrémé, émulsifiant, lécithine de tournesol, ., maltitols, E953, acésulfame-K";"Confiséo, Marque Repère";"Leclerc";"265.16666";"0.4";"5";"fat_value 5, sodium_value 0.3248031496062992, saturated-fat_value 3.5, proteins_value 0.9, polyols_value 91, salt_value 0.825, carbohydrates_value 91, sugars_value 0.4, energy_value 1110, fiber_value 0.5, energy_100g 1110";""
"3564700672143";"Planch' Acid";"France";"Sirop de glucose, sucre, amidons modifiés, acidifiants, acide citrique, acide lactique, gélatine de porc, arômes, arôme naturel de citron avec autres arômes naturels, colorants, curcuma, E120, E131, extrait de paprika, concentré de fruits rouges, amidon de _blé_., pomme de terre, maïs, baie de sureau, aronia";"Copains Copines";"Leclerc";"352.8389";"58";"0";"energy_100g 1477, carbohydrates_value 85, salt_value 0, fiber_value 0.5, sugars_value 58, energy_value 1477, proteins_value 1.9, saturated-fat_value 0, fat_value 0, sodium_value 0";""
"356470058088201";"Caramels Chocolat";"France";"Sirop de glucose-fructose, chocolat noir, sucre, _lait_ concentré écrémé, graisse de palme, sel, émulsifiants, E471, lécithine de _soja_, arômes., sucre, pâte de cacao, beurre de cacao, matière grasse _laitière_ anhydre, émulsifiant, lécithine de _soja_";"Confiséo, Marque Repère";"Leclerc";"445.05";"55.6";"17.3";"energy_100g 1863, fiber_value 1.8, energy_value 1863, sugars_value 55.6, carbohydrates_value 68.7, salt_value 0.42, proteins_value 3.1, saturated-fat_value 10.3, sodium_value 0.1653543307086614, fat_value 17.3";""
"3564700580899";"Caramels durs";"France";"Sucre, sirop de glucose, _crème_ fraîche de Normandie, _lait_ en poudre écrémé, sel, dextrose, arôme.";"Confiséo, Marque Repère";"Leclerc";"422.83334";"72";"9";"energy_100g 1770, fiber_value 0, energy_value 1770, sugars_value 72, carbohydrates_value 83, salt_value 1.00, proteins_value 1.5, saturated-fat_value 6, sodium_value 0.39370078740157477, fat_value 9";""
"3564700580943";"Acidulo's goût tutti frutti";"France";"Sucre, sirop de glucose, acidifiant, E120, E141., acide citrique, arôme, colorants, curcumine";"Confiséo, Marque Repère";"Leclerc";"389.3889";"68.4";"0.5";"fiber_value 0, sugars_value 68.4, energy_value 1630, carbohydrates_value 94.2, salt_value 0.018, energy_100g 1630, sodium_value 0.0070866141732283455, alcohol_value 0, fat_value 0.5, proteins_value 0, saturated-fat_value 0.5";""
"3564700641842";"Bonbons durs Assortiment Fruité Sans Sucre";"France";"Édulcorants, acidifiant, acide citrique, arômes naturels, arôme naturel de citron, arôme naturel d'orange, colorants, ., maltitols, sucralose, curcumine, E120, extrait de paprika, anthocyanes";"Confiséo, Marque Repère";"Leclerc";"237.21666";"0.5";"0.5";"energy_100g 993, carbohydrates_value 97, salt_value 0.013, fiber_value 0, sugars_value 0.5, energy_value 993, proteins_value 0, saturated-fat_value 0.5, polyols_value 97, fat_value 0.5, sodium_value 0.0051181102362204715";""
"3564700641859";"Bonbons durs aux Plantes sans sucres";"France";"Édulcorants, extraits de plantes, colorant, caramel E150d, arôme naturel d'eucalyptus, arôme naturel de menthe, arôme naturel d'anis étoilé, arôme naturel., maltitols, sucralose";"Confiséo, Marque Repère";"Leclerc";"231.72223";"0.5";"0.5";"sugars_value 0.5, energy_value 970, fiber_value 0, salt_value 0.013, carbohydrates_value 97, energy_100g 970, sodium_value 0.0051181102362204715, fat_value 0.5, polyols_value 97, saturated-fat_value 0.5, proteins_value 0";""
"3564700641866";"Bonbons durs Réglisse";"France";"Édulcorants, maltitol, sucralose, suc de réglisse 1‚, arôme naturel, colorant, E153, chlorure d'ammonium.";"Confiséo, Marque repère";"";"229.33333";"0.5";"0.5";"polyols_value 96, proteins_value 0, saturated-fat_value 0.5, sodium_value 0.01968503937007874, fat_value 0.5, energy_100g 960, fiber_value 0, energy_value 960, sugars_value 0.5, carbohydrates_value 96, salt_value 0.050";""
"3564709164915";"";"France";"Sucre, sirop de glucose, miel de la Champagne 15%/";"Nos Régions ont du Talent";"";"397.5111";"68.4";"0.3";"energy_100g 1664, carbohydrates_value 97.2, salt_value 0.005, fiber_value 0.5, sugars_value 68.4, energy_value 1664, proteins_value 0.5, saturated-fat_value 0.3, fat_value 0.3, sodium_value 0.001968503937007874";""
"3564361146489";"Coeurs de Guimauve";"France";"Enrobage chocolat noir, sucre, pâte de cacao, beurre de cacao et lécithine de SOJA.

Intérieur, sirop de glucose, sucre, dextrose, sucre glace, gélatine, vanilline, protéine de LAIT.";"Coeur des Lys";"Carrefour";;;;"";""
"3564700091005";"Assortiment confiseries aromatisées";"France";"";"Copains Copines, Marque repère";"";;;;"";""
"3561770001095";"Les Cuchettes : sucettes au caramel";"France";"Sucre, sirop de glucose, _lait_ concentré sucré, beurre, _lait_, sel de Guérande, 0‚, .";"La Maison d'Armorine";"";"441.22778";"63.9";"10.3";"saturated-fat_value 6.3, proteins_value 1.5, fat_value 10.3, sodium_value 0.23622047244094488, energy_100g 1847, salt_value 0.6, carbohydrates_value 84.7, sugars_value 63.9, energy_value 1847";""
"04930259";"Atomic";"France";"sirop, sirop de glucose, huile de coprah hydrogénée, acidifiants, gélatine, arômes, colorants, E161b, E133), émulsifiant, acide citrique, acide tartrique, E163, E473, .";"Carambar";"";"406.0";"65.4";"6.2";"fat_value 6.2, sodium_value 0.005, proteins_value 0.5, saturated-fat_value 6.2, carbohydrates_value 83.9, fiber_value 0, energy_value 1700, sugars_value 65.4, energy_100g 1700";""
"20431617";"assortiment de bonbons au chocolat";"France";"";"";"";"553.26666";"48";"36";"saturated-fat_value 16, proteins_value 6.8, fat_value 36, sodium_value 0.027559055118110236, energy_100g 2316, salt_value 0.07, carbohydrates_value 49, energy_value 2316 , sugars_value 48, fiber_value 4.4";""
"3245412962233";"Fraîcheurs Rocher Lait Eclats de Noisettes caramélisés";"France";"Sucre, beurre de cacao, poudre de _lait_ entier, graisses et huile végétales, éclats de noisettes caramélisés 7‚, pâte de cacao, pâte de _noisettes_, _lactosérum_ en poudre, _lactose_, cacao maigre en poudre, émulsifiant, lécithine de tournesol, extrait de malt d'_orge_, arômes., palme, tournesol, karité, _noisettes_, sucre";"Esprit de Fête";"Carrefour";"583.36664";"48";"41";"saturated-fat_value 21, proteins_value 5.6, sodium_value 0.05905511811023622, fat_value 41, energy_100g 2442, energy_value 2442, sugars_value 48, fiber_value 1.7, salt_value 0.15, carbohydrates_value 48";""
"3245412962318";"Chardons liqueurs assorties";"France";"Sucre, beurre de cacao, poudre de _lait_ écrémé, poudre de _lait_ entier, eau, eaux de vie 4‚, extrait GRAND MARNIER® 1‚, alcoolat de Chartreuse Verte 1‚, émulsifiant, lécithine de tournesol, stabilisant, gomme arabique, colorants, carmins, bleu patenté V, indigotine, caroténoïdes, lutéine, extrait de paprika, arôme naturel de vanille., Kirsch, framboise, poire Williams, alcool, eau, cognac, arômes naturels d'oranges amères, colorant, caramel ordinaire, alcool, mélange de plantes aromatiques";"Esprit de Fête";"Carrefour";"443.37778";"67";"14";"energy_100g 1856, energy_value 1856, sugars_value 67, salt_value 0.13, carbohydrates_value 67, saturated-fat_value 8.2, proteins_value 4.3, sodium_value 0.051181102362204724, fat_value 14";""
"3245413495457";"Escargots Noirs fourrage au praliné";"France";"Praliné, sucre, pâte de cacao, beurre de cacao, graisses végétales, éclats de _noisettes_, poudre de _lait_ écrémé, matière grasse de _lait_ anhydre, cacao maigre en poudre, poudre de _lait_ entier, émulsifiant, lécithine de tournesol, _lactose_, arôme naturel de vanille, _lactosérum_ en poudre, arôme naturel., sucre, pâte de _noisettes_, pâte d'_amandes_, palmiste, palme";"Esprit de Fête";"Carrefour";"540.6055";"49";"34";"sodium_value 0.011811023622047244, fat_value 34, saturated-fat_value 16, proteins_value 6.6, energy_value 2263, sugars_value 49, fiber_value 5.3, salt_value 0.03, carbohydrates_value 50, energy_100g 2263";""
"3245412414916";"Escargots Lait fourrage au praliné";"France";"Praliné, sucre, beurre de cacao, poudre de _lait_ entier, graisses végétales, pâte de cacao, éclats de _noisettes_, _lactose_, poudre de _lait_ écrémé, cacao maigre en poudre, émulsifiant, lécithine de tournesol, arôme naturel de vanille, matière grasse de _lait_ anhydre, _lactosérum_ en poudre, arôme naturel., sucre, pâte de _noisettes_, pâte d'_amandes_, palmiste, palme";"Esprit de Fête";"Carrefour";"544.1889";"50";"34";"energy_100g 2278, fiber_value 3.4, energy_value 2278, sugars_value 50, carbohydrates_value 51, salt_value 0.26, proteins_value 7.4, saturated-fat_value 16, sodium_value 0.10236220472440945, fat_value 34";""
"80050124";"Tic Tac - Menthe";"France,  en:switzerland";"Sucre, maltodextrine, fructose, épaissisant, gomme arabique, amidon de riz, arômes, huile essentielle de menthe, agent d'enrobage, cire de carnauba";"Tic Tac, Ferrero";"";"400.85556";;"0.3";"fat_value 0.3, carbohydrates_value 97.5, energy_value 1678, proteins_value 0.1, energy_100g 1678";""
"2044586899991";"Mints";"France";"Sucre, sirop de glucose, arômes, eau, colarant E170, agents d'enroboage E901 E903.";"Hema";"";"404.4389";"97";"0.5";"energy_100g 1693, carbohydrates_value 98, salt_value 0.01, fiber_value 0, energy_value 1693, sugars_value 97, proteins_value 0.5, saturated-fat_value 0.5, fat_value 0.5, sodium_value 0.003937007874015748";""
"3850102230044";"Bajadera";"Slovenia";"";"Kras";"";"544.6667";"54.9";"33.3";"fat_value 33.3, carbohydrates_value 59.6, sugars_value 54.9, energy_value 2280, proteins_value 5.8, saturated-fat_value 10.8, energy_100g 2280";""
"5411333999995";"Ballotin Pralines";"France";"sucre, pâte de cacao, beurre de cacao, LAIT entier en poudre, NOISETTES, graisse végétale, AMANDES, sirop de glucose, sirop de sucre inverti, noix de coco séchée, LAIT écrémé en poudre, eau, stabilisant, matière grasse _LAITière_ anhydre, LACTOSE, LAIT, LAIT condensé sucré, émulsifiant, lécithine de SOJA, huile végétale, coco, dextrose, fructose, SOJA, arôme naturel de vanille, amidon de BLÉ, GLUTEN, arôme naturel de café, arôme naturel, sel, arôme naturel d'orange, colorants, ), arôme, acidifiant, acide citrique, extrait de paprika, arôme naturel de cerise, arôme naturel de citron., palme, palmiste, coco, glycérol, sorbitol, E471, bétanine, caramel, E160a, i";"VandenBulcke";"Simply Market";"537.0222";"54";"32";"carbohydrates_value 55, salt_value 0.09, sugars_value 54, energy_value 2248, energy_100g 2248, fat_value 32, sodium_value 0.03543307086614173, proteins_value 5.1, saturated-fat_value 18";""
"5410976453017";"Fins Chocolats Belges fourrés crème Feuilletine";"France";"Sucre, beurre de cacao, _lait_ entier en poudre, graisse végétale, palme, pâte de cacao, _lait_ écrémé en poudre, biscuit, sel, eau, extrait de chicorée), émulsifiant, lécithine de _soja_, arôme naturel de vanille., farine de _blé_, sucre, margarine, contenant du _soja_";"GuyLian";"";"587.4278";"46";"41";"proteins_value 6.6, saturated-fat_value 25, fat_value 41, sodium_value 0.11023622047244096, energy_100g 2459, carbohydrates_value 48, salt_value 0.28, energy_value 2459, sugars_value 46";""
"5410591267907";"Arrache-toux / Véritables ballons";"Belgique";"Sucre, sirop de glucose";"Wycam's";"Carrefour, Colruyt";"325.36667";"78.2";"0.5";"fat_value 0.5, sodium_value 0.003937007874015748, proteins_value 0.5, saturated-fat_value 0.5, carbohydrates_value 78.2, salt_value 0.01, energy_value 1362, sugars_value 78.2, energy_100g 1362";""
