id;product_name;countries;ingredients;brands;stores;image_url;
20187866;"Petits pois";"France";"";"Freshona";"";"null";
20004071;"Cacahuètes grillées & salées";"France";"cacahuetes~>_cacahuètes_,huile-de-tournesol~>huile de tournesol,sel~>sel.";"PFIFF";"Norma";"null";
2035806599999;"Beurre de cacahuètes";"France";"cacahuetes~>_Cacahuètes_,huile-de-tournesol~>huile de tournesol,dextrose~>dextrose,graisse-de-palme~>graisse de palme,sel~>sel.";"Hema";"";"null";
26043494;"Haricots Verts, Très Fins ";"France";"haricots-verts~>Haricots verts,eau~>eau,sel~>sel.";"Fleurs des Champs,Aldi";"Aldi";"null";
3560070829644;"Lentilles Vertes";"France";"lentilles-vertes-precuites~>Lentilles vertes précuites.";"Carrefour";"";"null";
3560070823826;"Nos mélanges Gourmands - Soja, petits pois, lentilles blondes, lentilles vertes, lentilles corail.";"France";"petits-pois-concasses-precuits~>Petits pois concassés précuits,lentilles-blondes-decortiquees-precuites~>lentilles blondes décortiquées précuites,soja-concasse~>_soja_ concassé,flocons-de-soja-grilles~>flocons de _soja_ grillés,lentilles-vertes-precuites~>lentilles vertes précuites,lentilles-corail-decortiquees-5-  peut-contenir-des-traces-de-gluten~>lentilles corail décortiquées 5%.  Peut contenir des traces de gluten.";"Carrefour";"Carrefour";"null";
3560070823222;"Mogette de Vendée IGP";"France";"mogette-de-vendee-label-rouge-igp~>Mogette de Vendée Label Rouge IGP.";"Reflets de France";"Carrefour";"null";
3560070824144;"Lentilles vertes";"France";"lentilles-vertes~>Lentilles vertes.";"Produits blancs";"";"null";
3560070539147;"Haricots verts extra-fins ";"France";"haricots-verts-extra-fins~>Haricots verts extra-fins,eau~>eau,sel~>sel.";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070532056;"Haricots verts Extra fins Bio";"France";"haricots-verts-bio~>Haricots verts bio,eau~>eau,sel-de-mer~>sel de mer.";"Carrefour BIO,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070539291;"Flageolets Extra fins";"France";"flageolets-verts-extra-fin~>Flageolets verts extra-fin,eau~>eau,sel~>sel,aromes-naturels~>arômes naturels,contient-ble~>contient _blé_,affermissant~>affermissant,chlorure-de-calcium~>chlorure de calcium.";"Carrefour";"Carrefour City";"null";
3560070532025;"Petits pois extra-fin";"France";"";"Carrefour Bio,Carrefour";"";"null";
3560070273546;"Pois chiches";"France";"pois-chiches~>pois chiches,eau~>eau,sel~>sel";"Carrefour";"Carrefour,Dia";"null";
3560070273454;"Haricots blancs";"France";"haricots-blancs-sec-trempes~>Haricots blancs sec trempés,eau~>eau,sel~>sel.";"Carrefour";"Carrefour Market,Dia";"null";
3560070657698;"Petits pois extra-fins à l'étuvée";"France";"petits-pois~>Petits pois,eau~>eau,sucre~>sucre,sel~>sel,arome-naturel~>arôme naturel.";"Carrefour";"Carrefour";"null";
3560070655717;"Brotes de judía mungo en conserva ecológicas &quot;Carrefour Bio&quot; A los tres pimientos";"España";"agua~>Agua,brotes-de-judia-mungo~>brotes de judía mungo*,pimiento-rojo-en-tiras~>pimiento rojo en tiras*,7~>7‚,pimiento-amarillo-en-tiras~>pimiento amarillo en tiras*,7~>7‚,pimiento-verde-en-tiras~>pimiento verde en tiras*,7~>7‚,vinagre-de-alcohol~>vinagre de alcohol*,azucar~>azúcar*,vinagre-de-vino-blanco-procedente-de-uva-bio~>vinagre de vino blanco procedente de uva Bio*,sal~>sal,concentrado-de-limon-y-antioxidante~>concentrado de limón* y antioxidante,300~>300).,ingredientes-procedentes-de-la-agricultura-ecologica~>* Ingredientes procedentes de la agricultura ecológica,~>.,acido-ascorbico~>ácido ascórbico,e~>E";"Carrefour Bio,//Propiedad de://,Carrefour S.A.";"Carrefour";"null";
3560070657636;"Haricots verts extra-fins coupés";"France";"haricots-verts-extra-fins-coupes~>Haricots verts extra-fins coupés,eau~>eau,sel~>sel.";"Carrefour";"Carrefour";"null";
3560070657728;"Petits pois et jeunes carottes extra-fins à l\'étuvée";"France";"legumes~>LÉGUMES,fins~>fins,minimum~>minimum,carottes~>carottes,minimum~>minimum,  jus~>].   JUS,~>.,petits-pois-extra~>Petits pois extra,eau~>eau,sucre~>sucre,sel~>sel,arome-naturel~>arôme naturel";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070595648;"Boisson au soja au miel ";"France";"jus-de-soja-bio~>Jus de soja bio,sucre-de-canne-bio~>sucre de canne bio,miel-bio-1~>miel bio 1‚,arome-naturel~>arôme naturel,epaississant~>épaississant,carraghenanes~>carraghénanes.,eau~>eau,graines-de-soja-bio-7~>graines de soja bio 7‚";"Carrefour,Groupe Carrefour";"Carrefour";"null";
3560070599929;"Boisson soja, Saveur chocolat ";"France";"jus-de-soja-bio~>Jus de soja bio,sucre-de-canne-bio~>sucre de canne bio,poudre-de-cacao-maigre-bio~>poudre de cacao maigre bio,chocolat-en-poudre-bio-0~>chocolat en poudre bio 0‚,arome-naturel-de-chocolat~>arôme naturel de chocolat,epaississants~>épaississants,carraghenanes~>carraghénanes,sel-marin~>sel marin,arome-naturel-de-vanille~>arôme naturel de vanille.,eau~>eau,graines-de-soja-bio-6~>graines de soja bio 6‚";"Carrefour BIO,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour";"null";
3560070469260;"Garbanzos cocidos congelados &quot;Carrefour&quot;";"España";"garbanzos-ultracongelados-100~>Garbanzos ultracongelados 100%.";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"null";
3560070414406;"Haricots blancs sauce tomate BIO";"France";"haricots-blancs-secs-trempes-bio~>Haricots blancs secs trempés bio,sauce-tomate-bio~>sauce tomate bio,eau~>eau,double-concentre-de-tomaes-bio-13~>double concentré de tomaes bio 13‚,sucre-de-canne-bio~>sucre de canne bio,sel-marin~>sel marin,vinaigre-bio~>vinaigre bio,amidon-de-mais-bio~>amidon de maïs bio";"Carrefour,Carrefour BIO";"Carrefour";"null";
3560070570980;"Judías verdes redondas troceadas congeladas ecológicas &quot;Carrefour Bio&quot;";"España";"judias-verdes-ultracongeladas~>Judías verdes ultracongeladas*.,ingredientes-procedentes-de-la-agricultura-ecologica~>* Ingredientes procedentes de la agricultura ecológica,~>.";"Carrefour Bio,//Propiedad de://,Carrefour S.A.";"Carrefour";"null";
3560070572625;"Lentilles Bio";"France";"lentilles-bio~>Lentilles bio,eau~>eau,sel-marin~>sel marin,sucre-de-canne-bio~>sucre de canne bio,anti-oxydant~>anti-oxydant,acide-ascorbique~>acide ascorbique.";"Carrefour,Carrefour BIO";"Carrefour";"null";
3560070705719;"Flageolets verts extra fins";"France";"flageolets-verts-extra-fins~>Flageolets verts extra-fins,eau~>eau,sel~>sel,aromes-naturels~>arômes naturels,continet-du-ble~>continet du blé,affermissant~>affermissant,chlorure-de-calcium~>chlorure de calcium";"Carrefour";"Carrefour";"null";
3560070319015;"Haricots verts Très fins";"France";"haricots-verts~>Haricots verts,eau~>eau,sel~>sel.";"Carrefour,Groupe Carrefour";"Carrefour";"null";
3560070830008;"Lingots blancs";"France";"haricots-lingots-blancs~>Haricots lingots blancs,origine-france~>origine France,~>.";"Carrefour";"Carrefour";"null";
3560070395750;"Haricots verts extra-fins";"France";"haricots-verts-extra-fins~>Haricots verts extra-fins,eau~>eau,sel~>sel";"En Cuisine,En Cuisine Les Garnitures,Promocash";"Carrefour market";"null";
3560070894161;"Cacahuètes enrobées goût paprika ";"France";"cacahuetes~>Cacahuètes,arachides~>_arachides_,amidons~>amidons,huile-de-tournesol~>huile de tournesol,sucre-glace~>sucre glace,sel~>sel,epices~>épices,dextrose~>dextrose,sucre~>sucre,oignon-en-poudre~>oignon en poudre,levure-en-poudre~>levure en poudre,colorants~>colorants,curcumine-et-extrait-de-paprika~>curcumine et extrait de paprika,farine-de-ble~>farine de _blé_,extrait-de-levure~>extrait de levure,acidifiant~>acidifiant,acide-citrique~>acide citrique,aromes~>arômes,contient-lait-et-celeri~>contient _lait_ et _céleri_,extrait-de-curcuma~>extrait de curcuma,huile-de-colza~>huile de colza,correcteur-d-acidite~>correcteur d'acidité,acetates-de-sodium~>acétates de sodium.,pomme-de-terre~>pomme de terre,ble~>_blé_,mais~>maïs,paprika-0~>paprika 0‚,ail-en-poudre~>ail en poudre";"Carrefour";"Dia";"null";
3560070213207;"pousses de haricot mungo";"France";"pousses-de-haricot-mungo~>pousses de haricot mungo,eau~>eau,vinaigre-de-vin-blanc-aromatise-a-l-estragon~>vinaigre de vin blanc aromatisé à l'estragon,arome-naturel-estragon~>arôme naturel estragon),sucre~>sucre,sel~>sel,poivre~>poivre,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique,vinaigre-de-vin-blanc~>vinaigre de vin blanc,sulfites~>sulfites,oeuf~>œuf,lait~>lait";"carrefour";"carrefour city";"null";
3560070484416;"Guisantes congelados &quot;Carrefour&quot;";"España";"guisantes-ultracongelados-100~>Guisantes ultracongelados 100%.";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"null";
3560070956319;"Haricots verts Extra Fins";"France";"haricots-verts-bio~>Haricots verts bio,eau~>eau,sel-de-mer~>sel de mer";"Carrefour Bio,Carrefour";"Carrefour";"null";
3560070350858;"Pousses de Haricots Mungo (soja) Bio Carrefour";"France";"pousses-de-haricots-mungo~>Pousses de haricots mungo,pousses-de-soja~>pousses de soja,bio~>bio,eau~>eau,sucre-bio~>sucre bio,vinaigre-d-alcool-bio~>vinaigre d'alcool bio,sel~>sel,concentre-de-citron-bio~>concentré de citron bio,antioxydant~>antioxydant,acide-ascorbique~>acide ascorbique.";"Carrefour";"Carrefour";"null";
