"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"3185370303429";"champagne";"[""United Kingdom""]";"null";"[""ruinart""]";"null";""
"3185370303405";"blanc de blancs champagne";"[""United Kingdom""]";"null";"[""ruinart""]";"null";""
"3185370479339";"Moët & Chandon Brut Impérial (magnum)";"[""France""]";"{""champagne"":""champagne""}";"[""Moët & Chandon""]";"null";""
"3185370283905";"Champagne Ruinart";"[""United Kingdom"",""France""]";"{""champagne"":""champagne""}";"[""Ruinart""]";"null";""
"3185370288672";"champagne";"[""United Kingdom""]";"null";"[""ruinart""]";"null";""
"3185370045169";"Champagne Brut ";"[""France""]";"{"""":""."",""vin"":""Vin"",""sulfites"":""_sulfites_""}";"[""Mercier""]";"[""Carrefour""]";""
"3187851003248";"riesling";"[""France""]";"null";"[""vin d'Alsace""]";"null";""
"3187851000872";"Vin d'Alsace blanc Pinot Gris 2004";"[""Switzerland""]";"null";"null";"null";""
"3183520703464";"Vin d'Alsace 2013";"[""France""]";"null";"null";"null";""
"3183520040873";"Sylvaner 1996";"[""France""]";"{""vin-d-alsace"":""Vin d'Alsace""}";"[""Sylvaner"",""Laugel""]";"null";""
"3180280414791";"Lambrusco Emilia";"[""France""]";"{""uva-nera"":""Uva nera""}";"[""Villa Veroni""]";"[""Intermarché""]";""
"3180280412971";"Domaine de Sahari Guerrouane 2011";"[""France""]";"{""raisin-rouge-cepage"":""Raisin rouge Cépage ?""}";"[""Sahari""]";"[""Carrefour""]";""
"3180284905400";"Merlot";"[""France""]";"null";"[""Grain d'Oc""]";"null";""
"3180280449984";"Muscadet 2012";"[""France""]";"null";"[""Roches-Linières""]";"null";""
"3180280445573";"Sidi Brahim blanc";"[""France""]";"{""chardonnay"":""Chardonnay""}";"[""Sidi Brahim""]";"[""Carrefour""]";""
"3186630001215";"Cidre Breton, Doux (2 % vol.)";"[""France""]";"{""cidre-breton-doux-fabrique-avec-des-pommes-a-cidre-de-bretagne-\r\ncontient-des-sulfites"":""Cidre Breton Doux fabriqué avec des pommes à cidre de Bretagne.\r\nContient des _sulfites_.""}";"[""Loïc Raison""]";"[""Carrefour""]";""
"3186630002366";"Cidre Breton traditionnel naturellement trouble Loïc Raison";"[""France""]";"{""cidre"":""cidre.""}";"[""Loïc Raison""]";"[""Carrefour""]";""
"3184520000409";"Pur Malt";"[""France""]";"{""houblon"":""houblon"",""eau"":""eau"",""malt-d-orge"":""malt d'orge"",""arome-naturel"":""arôme naturel""}";"[""Buckler""]";"[""Auchan""]";""
"3184520000393";"Buckler pur malt sans alcool";"[""France""]";"{""houblon"":""houblon"",""eau"":""Eau"",""malt-d-orge"":""malt d'orge"",""arome-naturel"":""arôme naturel.""}";"[""Buckler""]";"null";""
