tt0000053 ; A Chegada do Comboio Inaugural à Estação Central do Porto ; -1.0 ; Documentary , Short ; Francisco Pinto Moreira ; N/A ; 1897 ; 
tt0000054 ; A Merry-Go-Round ; 5.7 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000055 ; Le chiffonnier ; 3.3 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000056 ; Uma Corrida de Touros no Campo Pequeno ; 2.4 ; Short ; Henry Short ; N/A ; 1896 ; 
tt0000057 ; The Czar and His Cortege Going to Versailles ; 4.4 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000058 ; The Czar's Cortege in the Bois de Boulogne ; 4.4 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000059 ; Coronation of a Village Maiden ; 3.2 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000060 ; Dancing Darkies ; 8.2 ; Documentary , Short ; William K.L. Dickson ; N/A ; 1896 ; 
tt0000061 ; Dancing Girls ; 4.2 ; Short ; Birt Acres ; Alhambra Girls ; 1896 ; 
tt0000062 ; Danse serpentine ; 6.1 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000063 ; Dessinateur express ; -1.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000064 ; Dessinateur: Chamberlain ; 2.9 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000065 ; Dessinateur: Reine Victoria ; 3.7 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000066 ; Dessinateur: Von Bismark ; 2.9 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000067 ; Conjurer Making Ten Hats in Sixty Seconds ; 4.4 ; Short , Fantasy ; Georges Méliès ; N/A ; 1896 ; 
tt0000068 ; Unloading the Boat ; 4.3 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000069 ; Post No Bills ; 4.9 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000070 ; Démolition d'un mur ; 6.4 ; Documentary , Short ; Louis Lumière ; Auguste Lumière ; 1896 ; 
tt0000071 ; Automobiles Starting a Race ; 3.0 ; Short , Sport ; Georges Méliès ; N/A ; 1896 ; 
tt0000072 ; Officers of French Army Leaving Service ; 3.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000073 ; Sea Breaking on the Rocks ; -1.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000074 ; Children Playing on the Beach ; 4.2 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000075 ; The Conjuring of a Woman at the House of Robert Houdin ; 6.3 ; Short ; Georges Méliès ; Jeanne d'Alcy , Georges Méliès ; 1896 ; 
tt0000076 ; Exit of Rip and the Dwarf ; 4.6 ; Drama , Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000077 ; Le fakir, mystère indien ; 4.6 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000078 ; Feira de Gado na Corujeira ; 5.1 ; Documentary , Short ; Aurélio da Paz dos Reis ; N/A ; 1896 ; 
tt0000079 ; La gare Saint-Lazare ; 4.4 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000080 ; Manoeuvres of the French Army ; 4.6 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000081 ; Towing a Boat on the River ; 4.1 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000082 ; A Hard Wash ; 5.2 ; Comedy , Short ; William K.L. Dickson ; N/A ; 1896 ; 
tt0000083 ; The Peeping Toms ; 4.2 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000084 ; The Drunkards ; 4.4 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000085 ; Gardener Burning Weeds ; 4.2 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000086 ; Beach and Pier at Trouville, 1st part ; 4.1 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000087 ; Beach and Pier at Trouville, 2nd part ; 5.1 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000088 ; Market Day ; 3.8 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000089 ; Leaving Jerusalem by Railway ; 6.5 ; Documentary , Short ; Alexandre Promio ; N/A ; 1897 ; 
tt0000090 ; Breaking Up of the Territorial Army ; 4.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000091 ; The House of the Devil ; 6.8 ; Short , Horror ; Georges Méliès ; Jeanne d'Alcy , Georges Méliès ; 1896 ; 
tt0000092 ; Tide Rising Over the Breakwater ; 4.2 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000093 ; Melbourne ; 5.4 ; Documentary , Short ; Auguste Lumière, Louis Lumière ; N/A ; 1896 ; 
tt0000094 ; Miss de Vere ; 3.1 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000095 ; The Mysterious Paper ; 4.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000096 ; Place Saint-Augustin ; 4.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000097 ; Place de l'Opéra, First View ; 4.7 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000098 ; Place de l'Opéra, Second View ; 5.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000099 ; Place de la Bastille ; 4.4 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000100 ; Place de la Concorde ; 4.9 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000101 ; Place du théâtre français ; 5.3 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000102 ; The Beach at Villiers in a Gale ; -1.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000103 ; Smarter than the Teacher ; 4.5 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000104 ; Pompiers à Lyon ; 5.6 ; Documentary , Short ; N/A ; N/A ; 1896 ; 
tt0000105 ; The Docks at Marseilles ; 5.1 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000106 ; Retour au cantonnement ; -1.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000107 ; Naval Review at Cherburg ; 5.3 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000108 ; Rip Leaving Sleepy Hollow ; 4.5 ; Drama , Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000109 ; Rip Meeting the Dwarf ; 4.5 ; Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000110 ; Rip Passing Over the Mountain ; 4.4 ; Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000111 ; Rip's Toast ; 4.6 ; Drama , Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000112 ; Rip's Toast to Hudson ; 4.6 ; Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000113 ; Rip's Twenty Years' Sleep ; 4.4 ; Drama , Short ; William K.L. Dickson ; Joseph Jefferson ; 1896 ; 
tt0000114 ; French Regiment Going to the Parade ; 5.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000115 ; French Officers' Meeting ; 4.9 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000116 ; Sac au dos ; -1.0 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000117 ; Saída do Pessoal Operário da Fábrica Confiança ; 5.8 ; Documentary , Short ; Aurélio da Paz dos Reis ; N/A ; 1896 ; 
tt0000118 ; Salut malencontreux d'un déserteur ; 4.6 ; Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000119 ; Rescue on the River, Pt. 2 ; -1.0 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000120 ; Rescue on the River, Pt. 1 ; 5.5 ; Documentary , Short ; Georges Méliès ; N/A ; 1896 ; 
tt0000121 ; The Soldier's Courtship ; 4.1 ; Short , Comedy ; Alfred Moul ; Fred Storey , Julie Seale , Ellen Daws ; 1896 ; 
